# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#  Hoogste uurgemiddelde winsnelheid 10 m in tiende m/s
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s);
#
# STN,YYYYMMDD,  FHX
#
  240,20170101,   70
  240,20170102,   60
  240,20170103,   90
  240,20170104,  110
  240,20170105,   50
  240,20170106,   60
  240,20170107,   70
  240,20170108,   30
  240,20170109,   80
  240,20170110,   80
  240,20170111,  140
  240,20170112,  110
  240,20170113,  120
  240,20170114,  100
  240,20170115,   30
  240,20170116,   30
  240,20170117,   30
  240,20170118,   20
  240,20170119,   20
  240,20170120,   40
  240,20170121,   60
  240,20170122,   30
  240,20170123,   40
  240,20170124,   40
  240,20170125,   40
  240,20170126,   50
  240,20170127,   60
  240,20170128,   70
  240,20170129,   70
  240,20170130,   80
  240,20170131,   60
  240,20170201,   70
  240,20170202,   70
  240,20170203,   50
  240,20170204,   60
  240,20170205,   40
  240,20170206,   40
  240,20170207,   60
  240,20170208,   70
  240,20170209,   70
  240,20170210,   60
  240,20170211,   80
  240,20170212,   80
  240,20170213,   80
  240,20170214,   60
  240,20170215,   50
  240,20170216,   70
  240,20170217,   80
  240,20170218,   40
  240,20170219,   70
  240,20170220,   90
  240,20170221,  120
  240,20170222,  130
  240,20170223,  170
  240,20170224,   90
  240,20170225,  100
  240,20170226,  100
  240,20170227,  110
  240,20170228,  110
  240,20170301,   70
  240,20170302,  140
  240,20170303,   70
  240,20170304,   70
  240,20170305,  100
  240,20170306,   30
  240,20170307,   50
  240,20170308,  100
  240,20170309,  120
  240,20170310,   40
  240,20170311,   40
  240,20170312,   40
  240,20170313,   50
  240,20170314,   80
  240,20170315,   40
  240,20170316,   70
  240,20170317,  130
  240,20170318,  140
  240,20170319,  120
  240,20170320,  150
  240,20170321,  110
  240,20170322,   70
  240,20170323,   90
  240,20170324,   80
  240,20170325,   70
  240,20170326,   70
  240,20170327,   50
  240,20170328,   80
  240,20170329,   90
  240,20170330,   70
  240,20170331,  100
  240,20170401,   50
  240,20170402,   50
  240,20170403,   20
  240,20170404,   50
  240,20170405,   70
  240,20170406,   60
  240,20170407,   60
  240,20170408,   40
  240,20170409,   50
  240,20170410,   80
  240,20170411,   70
  240,20170412,  100
  240,20170413,   70
  240,20170414,   80
  240,20170415,  100
  240,20170416,   70
  240,20170417,   90
  240,20170418,   70
  240,20170419,   50
  240,20170420,   60
  240,20170421,   70
  240,20170422,   90
  240,20170423,   70
  240,20170424,   90
  240,20170425,   90
  240,20170426,   70
  240,20170427,   70
  240,20170428,   70
  240,20170429,   40
  240,20170430,  100
  240,20170501,   70
  240,20170502,   70
  240,20170503,   60
  240,20170504,   90
  240,20170505,   80
  240,20170506,   70
  240,20170507,   70
  240,20170508,   90
  240,20170509,   60
  240,20170510,   40
  240,20170511,   60
  240,20170512,   60
  240,20170513,   60
  240,20170514,   90
  240,20170515,   70
  240,20170516,   70
  240,20170517,   60
  240,20170518,   80
  240,20170519,  100
  240,20170520,   60
  240,20170521,   40
  240,20170522,   50
  240,20170523,   80
  240,20170524,   70
  240,20170525,   50
  240,20170526,   60
  240,20170527,   90
  240,20170528,   50
  240,20170529,   60
  240,20170530,   90
  240,20170531,   50
  240,20170601,   30
  240,20170602,   50
  240,20170603,   70
  240,20170604,   80
  240,20170605,   80
  240,20170606,  150
  240,20170607,  120
  240,20170608,   90
  240,20170609,   90
  240,20170610,   60
  240,20170611,   90
  240,20170612,  110
  240,20170613,   60
  240,20170614,   40
  240,20170615,  100
  240,20170616,   90
  240,20170617,   50
  240,20170618,   40
  240,20170619,   60
  240,20170620,   70
  240,20170621,   60
  240,20170622,   90
  240,20170623,  100
  240,20170624,   90
  240,20170625,   90
  240,20170626,   50
  240,20170627,   70
  240,20170628,   70
  240,20170629,   50
  240,20170630,   60
  240,20170701,   70
  240,20170702,   70
  240,20170703,  100
  240,20170704,   30
  240,20170705,   60
  240,20170706,   60
  240,20170707,   70
  240,20170708,   60
  240,20170709,   40
  240,20170710,   80
  240,20170711,   60
  240,20170712,   90
  240,20170713,   40
  240,20170714,  100
  240,20170715,   60
  240,20170716,   60
  240,20170717,   50
  240,20170718,   60
  240,20170719,   90
  240,20170720,  100
  240,20170721,   70
  240,20170722,   70
  240,20170723,   80
  240,20170724,   50
  240,20170725,  100
  240,20170726,   70
  240,20170727,   80
  240,20170728,  110
  240,20170729,  100
  240,20170730,  100
  240,20170731,   70
  240,20170801,   50
  240,20170802,   90
  240,20170803,  150
  240,20170804,  110
  240,20170805,   70
  240,20170806,   70
  240,20170807,   50
  240,20170808,   60
  240,20170809,   80
  240,20170810,   50
  240,20170811,   60
  240,20170812,   80
  240,20170813,   40
  240,20170814,   50
  240,20170815,   40
  240,20170816,   50
  240,20170817,   70
  240,20170818,   90
  240,20170819,  100
  240,20170820,   90
  240,20170821,   30
  240,20170822,   50
  240,20170823,   60
  240,20170824,   70
  240,20170825,   30
  240,20170826,   60
  240,20170827,   40
  240,20170828,   30
  240,20170829,   50
  240,20170830,   80
  240,20170831,   60
  240,20170901,   30
  240,20170902,   60
  240,20170903,   40
  240,20170904,   50
  240,20170905,   70
  240,20170906,  100
  240,20170907,   70
  240,20170908,   90
  240,20170909,   70
  240,20170910,  110
  240,20170911,  120
  240,20170912,  100
  240,20170913,  160
  240,20170914,  110
  240,20170915,   80
  240,20170916,   50
  240,20170917,   40
  240,20170918,   50
  240,20170919,   50
  240,20170920,   70
  240,20170921,   60
  240,20170922,   50
